"","PopDensity","x","y"
"1795",14346.6451024717,713800,-682840
"1796",17111.9858693078,714720,-682840
"1797",15871.9923934291,715640,-682840
"1798",11122.9731941515,716560,-682840
"1799",16627.9404239212,717480,-682840
"1838",19805.1965541589,687120,-681920
"1839",16529.594046418,688040,-681920
"1840",17670.8971857796,688960,-681920
"1841",18990.4139129548,689880,-681920
"1842",20124.6172223446,690800,-681920
"1843",20707.2477172628,691720,-681920
"1844",20766.198248232,692640,-681920
"1845",21971.5996480319,693560,-681920
"1846",20950.1650670596,694480,-681920
"1847",22661.8735311114,695400,-681920
"1848",25526.5728590508,696320,-681920
"1849",26750.134082388,697240,-681920
"1850",29452.6978641654,698160,-681920
"1851",34529.6967017264,699080,-681920
"1852",34283.2586341831,7e+05,-681920
"1853",21926.982438576,700920,-681920
"1854",22296.7542938062,701840,-681920
"1855",17446.4061456607,702760,-681920
"1856",32676.2177252723,703680,-681920
"1857",42521.9081384855,704600,-681920
"1858",50115.5921433005,705520,-681920
"1859",37697.007107629,706440,-681920
"1860",29186.5954244683,707360,-681920
"1861",27489.5258534365,708280,-681920
"1862",24502.4908023485,709200,-681920
"1863",18486.8144612226,710120,-681920
"1864",15544.2822491944,711040,-681920
"1865",11742.4376871145,711960,-681920
"1866",19443.6166399295,712880,-681920
"1867",18940.5409336836,713800,-681920
"1868",18840.1002823953,714720,-681920
"1869",16821.7777486257,715640,-681920
"1870",13811.7835735473,716560,-681920
"1871",17751.8734705741,717480,-681920
"1910",19476.4145129604,687120,-681000
"1911",18142.8721666631,688040,-681000
"1912",19060.9269343126,688960,-681000
"1913",20603.9594505369,689880,-681000
"1914",21436.5341445576,690800,-681000
"1915",21423.643622449,691720,-681000
"1916",21951.1961102282,692640,-681000
"1917",22733.2981146674,693560,-681000
"1918",21196.1974682567,694480,-681000
"1919",24261.4346180864,695400,-681000
"1920",25230.8492974447,696320,-681000
"1921",28403.8192535008,697240,-681000
"1922",34727.2495507334,698160,-681000
"1923",93407.361215673,699080,-681000
"1924",46803.268620454,7e+05,-681000
"1925",41257.4417531273,700920,-681000
"1926",33077.3059280135,701840,-681000
"1927",36475.033446426,702760,-681000
"1928",27723.809377667,703680,-681000
"1929",32193.5283010748,704600,-681000
"1930",37748.5996598582,705520,-681000
"1931",35950.5052808168,706440,-681000
"1932",28452.5942301505,707360,-681000
"1933",26344.0006986615,708280,-681000
"1934",20976.3498535456,709200,-681000
"1935",17848.645528011,710120,-681000
"1936",20775.5083742869,711040,-681000
"1937",19078.7159318431,711960,-681000
"1938",20208.4061106928,712880,-681000
"1939",20228.2851287454,713800,-681000
"1940",20199.4007204798,714720,-681000
"1941",18809.3831093701,715640,-681000
"1942",17614.9698401496,716560,-681000
"1943",18652.9248295805,717480,-681000
"1982",18996.0378697166,687120,-680080
"1983",16006.1391363992,688040,-680080
"1984",19109.7141871056,688960,-680080
"1985",21123.4301735161,689880,-680080
"1986",22132.3689749596,690800,-680080
"1987",22675.4050618056,691720,-680080
"1988",23409.6979940505,692640,-680080
"1989",24240.1634224923,693560,-680080
"1990",19434.2829479882,694480,-680080
"1991",24634.0894302472,695400,-680080
"1992",27137.5672393957,696320,-680080
"1993",31990.217231471,697240,-680080
"1994",38638.787844241,698160,-680080
"1995",54484.5148062597,699080,-680080
"1996",50048.2730634912,7e+05,-680080
"1997",47083.7172106879,700920,-680080
"1998",26644.9430388008,701840,-680080
"1999",35708.5004061732,702760,-680080
"2000",19277.6610153266,703680,-680080
"2001",23865.7446468369,704600,-680080
"2002",30663.8786021671,705520,-680080
"2003",30043.3734540305,706440,-680080
"2004",23384.3914197071,707360,-680080
"2005",24697.7784966984,708280,-680080
"2006",23536.3558925868,709200,-680080
"2007",22204.2528484372,710120,-680080
"2008",23933.7660892474,711040,-680080
"2009",23024.2783039062,711960,-680080
"2010",17773.5822746142,712880,-680080
"2011",17196.7526030988,713800,-680080
"2012",20444.2674999882,714720,-680080
"2013",16699.789262546,715640,-680080
"2014",10968.009248468,716560,-680080
"2015",17093.4742769899,717480,-680080
"2054",19201.8634194409,687120,-679160
"2055",17575.9520305863,688040,-679160
"2056",18495.5634935649,688960,-679160
"2057",21257.1474772203,689880,-679160
"2058",22669.408861606,690800,-679160
"2059",22727.0550281675,691720,-679160
"2060",23730.5901512247,692640,-679160
"2061",28570.3302263757,693560,-679160
"2062",26295.4261849398,694480,-679160
"2063",26221.6794856242,695400,-679160
"2064",28766.9353730304,696320,-679160
"2065",31531.6172455348,697240,-679160
"2066",36767.4765073002,698160,-679160
"2067",41095.6381806055,699080,-679160
"2068",37031.6491621325,7e+05,-679160
"2069",26517.5710453701,700920,-679160
"2070",25618.3181533443,701840,-679160
"2071",28064.9356838109,702760,-679160
"2072",26042.8160862267,703680,-679160
"2073",19626.9742309134,704600,-679160
"2074",24560.8954300608,705520,-679160
"2075",22924.2226943615,706440,-679160
"2076",26475.7215292865,707360,-679160
"2077",26531.048589419,708280,-679160
"2078",27398.98827507,709200,-679160
"2079",28982.534427783,710120,-679160
"2080",25661.0982300808,711040,-679160
"2081",24822.0025507787,711960,-679160
"2082",23597.1844221458,712880,-679160
"2083",22224.6025592498,713800,-679160
"2084",21683.7867148297,714720,-679160
"2085",16842.1955076696,715640,-679160
"2086",10104.8529420095,716560,-679160
"2087",17030.4034536338,717480,-679160
"2127",13675.2577038217,688040,-678240
"2128",14905.5178909987,688960,-678240
"2129",20839.6237686056,689880,-678240
"2130",22416.9178035017,690800,-678240
"2131",22646.7405826257,691720,-678240
"2132",23388.4847826598,692640,-678240
"2133",24546.86964507,693560,-678240
"2134",24019.4230235708,694480,-678240
"2135",24379.318606097,695400,-678240
"2136",27542.7608968164,696320,-678240
"2137",29328.4032927888,697240,-678240
"2138",32020.8650058863,698160,-678240
"2139",33424.2594033087,699080,-678240
"2140",26012.8383803809,7e+05,-678240
"2141",24022.2345891387,700920,-678240
"2142",27105.2228906451,701840,-678240
"2143",26266.3063895755,702760,-678240
"2144",26215.3120449605,703680,-678240
"2145",25793.3970885655,704600,-678240
"2146",24625.3186270708,705520,-678240
"2147",23360.4066329619,706440,-678240
"2148",24383.3574448705,707360,-678240
"2149",24120.5006011865,708280,-678240
"2150",26949.416105466,709200,-678240
"2151",51533.7403425202,710120,-678240
"2152",26706.5271680876,711040,-678240
"2153",27035.9037591308,711960,-678240
"2154",33350.5803809416,712880,-678240
"2155",27626.3381075988,713800,-678240
"2156",23271.3479498386,714720,-678240
"2157",20433.3146871533,715640,-678240
"2158",18500.484686804,716560,-678240
"2159",19035.4883192313,717480,-678240
"2198",19780.8007773162,687120,-677320
"2199",18255.050212282,688040,-677320
"2200",19134.4093032638,688960,-677320
"2201",20758.7003266097,689880,-677320
"2202",21202.9187560432,690800,-677320
"2203",21002.063840286,691720,-677320
"2204",21604.2867914989,692640,-677320
"2205",22173.0510236265,693560,-677320
"2206",17484.5544754493,694480,-677320
"2207",11931.7330296188,695400,-677320
